"","census_labels","tc_var2_without_CAPS"
"1","T.003",943700
"2","T.012",82676
"3","T.102",14558
"4","T.021D",6977
"5","T.021U",1129
"6","T.021C",2187
"7","T.111D",560
"8","T.111U",2284
"9","T.030T",374
"10","T.030C",15
"11","T.201",239
"12","T.120D",70
"13","T.120U",265
"14","T.120C",73
"15","T.210",103
"16","T.300",30
